"","Quarter","sales"
"1",1.1,11850.1696
"2",1.2,6664.83
"3",1.3,7740.613
"4",1.4,3110.202
"5",2.1,13131.329
"6",2.2,9422.044
"7",2.3,4460.846
"8",2.4,5154.797
"9",3.1,23293.6294
"10",3.2,8136.7
"11",3.3,9977.882
"12",3.4,15852.556
"13",4.1,12997.18
"14",4.2,16254.46
"15",4.3,20637.4535
"16",4.4,9004.11
"17",5.1,12004.525
"18",5.2,9520.3648
"19",5.3,22368.176
"20",5.4,9235.938
"21",6.1,15877.688
"22",6.2,14360.312
"23",6.3,15091.87
"24",6.4,15812.17
"25",7.1,14253.756
"26",7.2,7877.763
"27",7.3,15221.78
"28",7.4,11268.6
"29",8.1,8367.826
"30",8.2,8945.4072
"31",8.3,19684.166
"32",8.4,13660.2465
"33",9.1,35124.582
"34",9.2,20166.877
"35",9.3,39776.1266
"36",9.4,30175.422
"37",10.1,35984.485
"38",10.2,17719.46
"39",10.3,9926.09
"40",10.4,15330.4565
"41",11.1,39087.039
"42",11.2,35519.2298
"43",11.3,36080.478
"44",11.4,39695.8032
"45",12.1,51011.406
"46",12.2,31402.258
"47",12.3,29805.741
"48",12.4,29872.4675
